187347,95500,5575,12830,95500,3406,65129,6500,5000,89000,5047,89000,89000
171993,95000,5700,17023,95000,4250,78440,8000,8000,87000,5018,87000,87000
75174,88766,5623,16373,88766,4503,72637,6766,5766,82000,4946,82000,82000
253471,72700,3894,8756,44850,2496,48915,2850,2500,42000,3213,42000,42000
197601,59646,4846,6530,41323,1970,40967,323,323,41000,3136,41000,41000
277900,59613,4663,7894,44750,3278,45838,750,750,44000,3366,44000,44000
280169,56839,1804,6352,56839,1951,36849,16839,17839,40000,3060,40000,40000
293192,60856,1875,9090,56069,3873,43027,23069,20069,33000,2524,33000,33000
98787,60442,44,10310,63132,2562,47383,33675,25845,29457,2253,29457,29457
248899,70240,3536,9795,38040,2321,52627,3040,40,35000,2677,35000,35000
209612,70854,3960,9042,32728,4180,49936,2728,2528,30000,2295,30000,30000
242004,73082,3684,10475,33398,4570,55054,1398,144,32000,2448,32000,32000
200017,58427,2188,7612,29214,1920,44829,4214,4213,25000,1912,25000,25000
273657,58423,2783,7611,31890,1272,44826,3370,3370,28520,2181,28520,23000
271257,67298,2269,8271,29000,3624,47184,4000,4000,25000,1912,25000,25000
277591,96559,2791,15594,37553,3251,73337,553,509,37000,2830,37000,37000
343707,76170,2737,12397,38528,3510,61921,2528,2528,36000,2754,36000,36000
276168,92000,2225,14560,28000,3482,69643,4000,4000,24000,1836,24000,24000
272062,72507,3758,8028,61007,2536,46316,1507,1500,59500,4551,59500,59500
331041,67200,3130,10417,67200,3113,47767,4200,4000,63000,4670,63000,63000
308472,83604,2806,12655,64363,2775,62840,363,363,64000,4685,64000,64000
273536,73363,4206,9585,70752,2521,51878,2389,2389,68363,4748,68363,68363
148297,68500,4578,10689,68500,3054,48739,8500,2500,60000,4590,60000,60000
267323,73954,5190,11369,69600,3926,58248,6600,4000,63000,4670,63000,63000
180510,69200,2735,11457,71204,2272,55079,16204,200,55000,4207,55000,55000
104404,72562,4196,11587,71372,3283,55543,23372,66,48000,3672,48000,48000
147867,67446,3116,11927,79693,4401,53158,24693,200,55000,4207,55000,55000
257685,62960,2561,5959,59730,2174,38927,3230,3230,56500,4322,56500,56500
209413,69324,3487,7338,56864,2193,43852,233,233,56631,4332,56631,56631
149311,51930,2469,8465,52430,2292,40795,2430,1730,50000,3825,50000,50000
302636,53768,1360,8894,45154,1883,42325,7154,1153,38000,2907,38000,20000
152420,40135,1739,5503,40541,982,30216,1041,230,39500,3021,39500,11000
239839,49577,2064,6435,49577,1781,33543,3577,577,46000,5355,22000,15000
208651,51293,1445,5852,43293,1787,38543,34893,2500,8400,642,8400,8400
84154,37192,872,3716,29080,1658,24779,27080,12,2000,153,2000,2000
67492,47051,293,4600,19121,2427,30670,14821,421,4300,328,4300,4000
222205,76650,2790,11497,40125,2660,59893,125,125,40000,3060,40000,40000
